R2,RMSE,MAE,MAPE,Model,Split,n_train,n_test,n_predicted,fallback_fraction,failed_fraction
0.9966519962556234,0.012939283494174392,0.010016860888094267,3.891847909049601,Langmuir,IID,152,39,39,0.0,0.0
0.996099212961235,0.013966686376035818,0.00875585580960464,2.7903015091776107,Toth,IID,152,39,39,0.0,0.0
0.9695302045225442,0.039034806442424755,0.02693499863717663,9.348380922924292,Freundlich,IID,152,39,39,0.0,0.0
0.9902285546644021,0.01985014015724598,0.01707738029550834,7.759536633455361,Toth,OOD_alclay_max_group,148,43,43,1.0,0.0
0.9882450434055421,0.02177181769264077,0.018667444432851555,8.46561417745936,Langmuir,OOD_alclay_max_group,148,43,43,1.0,0.0
0.9761606329240038,0.031004985645707,0.025413235356810993,13.543046986205344,Freundlich,OOD_alclay_max_group,148,43,43,1.0,0.0
0.9784139934333466,0.01993670474100019,0.017827353885746,2.7768179525021632,Langmuir,OOD_pressure_high,162,29,29,0.0,0.0
0.9507381351207611,0.03011775866870891,0.02502954568125667,4.05634562768625,Toth,OOD_pressure_high,162,29,29,0.0,0.0
0.5536997999278495,0.09065270454745562,0.08291992953883949,13.282100620785888,Freundlich,OOD_pressure_high,162,29,29,0.0,0.0
0.8871481302521375,0.019333933012247426,0.014958038302836289,16.18336514589499,Toth,OOD_pressure_low,162,29,29,0.0,0.0
0.7197200475971919,0.030469255850486796,0.02417406696120452,21.606826350679796,Langmuir,OOD_pressure_low,162,29,29,0.0,0.0
0.3188580379836973,0.04749901985799403,0.04365400257679877,49.38476980527103,Freundlich,OOD_pressure_low,162,29,29,0.0,0.0
-0.9167246243069562,0.15824798721919428,0.1398744449628242,86.873382094362,Freundlich,OOD_temp_max_group,134,57,57,1.0,0.0
-1.1853671654709697,0.16897425507711122,0.14785543642641466,81.0474929438826,Toth,OOD_temp_max_group,134,57,57,1.0,0.0
-1.2482317995903065,0.1713873946389428,0.14953670972505642,79.75414271416552,Langmuir,OOD_temp_max_group,134,57,57,1.0,0.0
