R2,RMSE,MAE,MAPE,Model,Split,n_train,n_test,n_features,n_parameters,best_val_mse_scaled,epochs_run,architecture,pressure_monotonic_violation_fraction,temperature_monotonic_violation_fraction,pressure_saturation_violation_fraction,min_predicted_capacity_on_grids
0.9960841017151989,0.013993712976901041,0.011625557603549332,4.883831438408411,PI-HySPAC_2x64,IID,152,39,13,5121,0.004389672074466944,592,2x64,0.0,0.040268456375838924,0.0,0.045230839401483536
0.9943252812976406,0.016845714258559342,0.013263073639940103,6.58167299333434,PI-HySPAC_2x256_optimized,IID,152,39,13,69633,0.006268133409321308,248,2x256_optimized,0.0,0.0,0.0,0.02782774344086647
0.9932871124388475,0.01832196069464681,0.014916180845492078,6.498973902829371,PI-HySPAC_2x128,IID,152,39,13,18433,0.0046355570666491985,336,2x128,0.0,0.087248322147651,0.0,0.04816422238945961
0.9913460420930041,0.020802936810141982,0.01705358546294959,7.140730857961043,PI-HySPAC_1x32,IID,152,39,13,481,0.0071486979722976685,866,1x32,0.0,0.0,0.0,0.03934339061379433
0.9852041297017867,0.027201165852333706,0.02156021933094184,9.876356543273483,PI-HySPAC_1x16,IID,152,39,13,241,0.01654139906167984,857,1x16,0.0,0.08053691275167785,0.0,0.047819558531045914
