iter	RMSE
0	0.195323071
1	0.1863825853
2	0.1775156146
3	0.1684973048
4	0.1616424943
5	0.1541676191
6	0.1481052231
7	0.1413781665
8	0.1352272199
9	0.1300625487
10	0.1247046119
11	0.1196651137
12	0.1141711917
13	0.1091768506
14	0.1055852858
15	0.1011506138
16	0.09783473848
17	0.09383259437
18	0.09089323695
19	0.08709256641
20	0.08376481878
21	0.08065468019
22	0.07756799653
23	0.07502882567
24	0.07316951803
25	0.07065760809
26	0.06843637116
27	0.06639200578
28	0.0646311357
29	0.06247886916
30	0.06074893522
31	0.05859531753
32	0.0567624276
33	0.05486521646
34	0.05334708986
35	0.05161237783
36	0.05011066066
37	0.04875779358
38	0.04744864154
39	0.04631988801
40	0.04501963772
41	0.04385715773
42	0.04283048435
43	0.04185202833
44	0.04059429013
45	0.03936703257
46	0.03865593994
47	0.03808066829
48	0.03700171284
49	0.0362371777
50	0.03550374351
51	0.03488220989
52	0.03395550421
53	0.03340564368
54	0.0329761108
55	0.03211784488
56	0.03131460646
57	0.03060695724
58	0.02983970552
59	0.02909377792
60	0.02853936065
61	0.02793664292
62	0.02754539736
63	0.02727588823
64	0.02671770857
65	0.02636336559
66	0.0260248529
67	0.02573171265
68	0.02556355444
69	0.0252843965
70	0.02488389845
71	0.02444825797
72	0.02414048012
73	0.0237833684
74	0.02346930178
75	0.02328413208
76	0.02272961949
77	0.02253636157
78	0.02234286179
79	0.02196776473
80	0.0217064809
81	0.02150339305
82	0.021329922
83	0.02116721792
84	0.02101095091
85	0.02093861638
86	0.02059812148
87	0.02052385229
88	0.02019969742
89	0.02012093143
90	0.02005986608
91	0.01999695833
92	0.01980802384
93	0.01952209794
94	0.01937740656
95	0.0191032121
96	0.01898467533
97	0.01872803827
98	0.01853118512
99	0.01847636139
100	0.01836486084
101	0.01823137514
102	0.01799702607
103	0.01787659529
104	0.0176872381
105	0.01757998146
106	0.01751708897
107	0.01737709572
108	0.01732147985
109	0.01728019441
110	0.01709896282
111	0.01705554472
112	0.01702485387
113	0.01670430928
114	0.01660597909
115	0.01657759364
116	0.01641063477
117	0.01612213608
118	0.01594618493
119	0.01585780071
120	0.01560474674
121	0.01556490097
122	0.0155349832
123	0.01529251337
124	0.01508888513
125	0.01504746956
126	0.01492525656
127	0.01488087814
128	0.01483954591
129	0.0146629072
130	0.01449964473
131	0.01447863529
132	0.01445859172
133	0.01426376515
134	0.01422538619
135	0.01414237863
136	0.01413320341
137	0.01401831011
138	0.01386360038
139	0.01385578077
140	0.01370610687
141	0.01352833078
142	0.01339106713
143	0.0133116557
144	0.01319267943
145	0.01310034678
146	0.0130932298
147	0.01306664134
148	0.01305895329
149	0.01295276465
150	0.01292274631
151	0.0127999017
152	0.01275101814
153	0.01274368681
154	0.0126772232
155	0.01260906696
156	0.01259190227
157	0.01249846794
158	0.01248602857
159	0.01247914695
