Split,Model,n,R2_mean,R2_std,R2_ci95,MAPE_mean,MAPE_std,MAPE_ci95,RMSE_mean,RMSE_std,RMSE_ci95,MAE_mean,MAE_std,MAE_ci95
OOD_alclay_max_group,AdaBoost,30,0.985252257505414,2.2584051416334807e-16,8.081599008380938e-17,10.262637293894322,1.8067241133067846e-15,6.46527920670475e-16,0.024386358113868148,3.5287580338023136e-18,1.2627498450595215e-18,0.01967081140289435,7.057516067604627e-18,2.525499690119043e-18
OOD_alclay_max_group,CatBoost,30,0.9703232783852397,1.1292025708167404e-16,4.040799504190469e-17,12.48373473517245,0.0,0.0,0.03459331134204587,0.0,0.0,0.02707168444318709,3.5287580338023136e-18,1.2627498450595215e-18
OOD_alclay_max_group,GBM,30,0.9793560519854735,2.2584051416334807e-16,8.081599008380938e-17,11.742327637976475,0.0,0.0,0.02885230752735672,1.0586274101406941e-17,3.788249535178565e-18,0.022005779185185686,1.0586274101406941e-17,3.788249535178565e-18
OOD_alclay_max_group,PINN_PI-HySPAC,30,0.8176923382332634,0.020109241728583763,0.007195999735258744,37.17239214747767,2.110068346753821,0.7550782605112043,0.08561566171279476,0.004706513757708754,0.0016842043181729191,0.07658114132985429,0.004423418769277602,0.0015829000776003872
OOD_alclay_max_group,XGBoost,30,0.9699783666952653,1.1292025708167404e-16,4.040799504190469e-17,13.67988229861378,3.613448226613569e-15,1.29305584134095e-15,0.03479375749276441,1.4115032135209254e-17,5.050999380238086e-18,0.026459343334614437,7.057516067604627e-18,2.525499690119043e-18
OOD_pressure_high,AdaBoost,30,0.7623402028983647,0.0,0.0,8.756031901464553,0.0,0.0,0.06615232090338966,0.0,0.0,0.04941233164472771,7.057516067604627e-18,2.525499690119043e-18
OOD_pressure_high,CatBoost,30,0.9171433316342583,2.2584051416334807e-16,8.081599008380938e-17,5.7981144679433205,0.0,0.0,0.03905988478568681,7.057516067604627e-18,2.525499690119043e-18,0.03447893176026158,1.4115032135209254e-17,5.050999380238086e-18
OOD_pressure_high,GBM,30,0.5742208554648702,0.0,0.0,13.442106269880533,1.8067241133067846e-15,6.46527920670475e-16,0.08854405703364474,2.823006427041851e-17,1.0101998760476172e-17,0.07844647230911934,1.4115032135209254e-17,5.050999380238086e-18
OOD_pressure_high,PINN_PI-HySPAC,30,0.9622552979695295,0.007767202184478977,0.002779457605493125,3.5824156921746053,0.40087880294009665,0.1434526372880267,0.0262387137625702,0.002600849084341739,0.0009307018919449427,0.020457752682440194,0.00207350383105593,0.0007419938166105731
OOD_pressure_high,XGBoost,30,0.7976192678700009,0.0,0.0,8.962802372762798,1.8067241133067846e-15,6.46527920670475e-16,0.06104524007042087,7.057516067604627e-18,2.525499690119043e-18,0.04740905247987113,7.057516067604627e-18,2.525499690119043e-18
OOD_pressure_low,AdaBoost,30,-0.9411040479473403,2.2584051416334807e-16,8.081599008380938e-17,84.88171486958483,0.0,0.0,0.08018446533321012,2.823006427041851e-17,1.0101998760476172e-17,0.06936626109963571,0.0,0.0
OOD_pressure_low,CatBoost,30,-0.8171099267844226,2.2584051416334807e-16,8.081599008380938e-17,82.00616040573371,1.4453792906454277e-14,5.1722233653638e-15,0.0775811888675883,1.4115032135209254e-17,5.050999380238086e-18,0.06713502016931037,0.0,0.0
OOD_pressure_low,GBM,30,-0.3259134665505002,1.6938038562251105e-16,6.061199256285704e-17,75.88511270970095,0.0,0.0,0.0662709842621924,1.4115032135209254e-17,5.050999380238086e-18,0.05899247056750622,0.0,0.0
OOD_pressure_low,PINN_PI-HySPAC,30,0.7444216940989744,0.06552151422843312,0.0234465727452749,29.838460387375793,4.711123244332095,1.6858538017769722,0.02886901477289074,0.0036863071609771455,0.00131912807616054,0.023115089007207306,0.003213253775425185,0.001149848096182155
OOD_pressure_low,XGBoost,30,-0.8901987229766164,2.2584051416334807e-16,8.081599008380938e-17,90.74508223862898,1.4453792906454277e-14,5.1722233653638e-15,0.07912606396198033,1.4115032135209254e-17,5.050999380238086e-18,0.06936974696983986,2.823006427041851e-17,1.0101998760476172e-17
OOD_temp_max_group,AdaBoost,30,-0.7429002492024485,1.1292025708167404e-16,4.040799504190469e-17,75.510107867473,1.4453792906454277e-14,5.1722233653638e-15,0.1509018623759309,2.823006427041851e-17,1.0101998760476172e-17,0.13379787647018895,5.646012854083702e-17,2.0203997520952345e-17
OOD_temp_max_group,CatBoost,30,-0.8802059644426448,0.0,0.0,75.89161600463315,1.4453792906454277e-14,5.1722233653638e-15,0.1567332166427365,2.823006427041851e-17,1.0101998760476172e-17,0.13696446563573725,2.823006427041851e-17,1.0101998760476172e-17
OOD_temp_max_group,GBM,30,-0.7145220067179071,1.1292025708167404e-16,4.040799504190469e-17,73.84518736261616,0.0,0.0,0.1496683137412133,2.823006427041851e-17,1.0101998760476172e-17,0.13147800212930855,5.646012854083702e-17,2.0203997520952345e-17
OOD_temp_max_group,PINN_PI-HySPAC,30,-0.475178977735939,0.05066804702641733,0.018131327770052868,79.9067894113579,2.4963873603680806,0.8933207441023255,0.13880933919632804,0.0023858613907457443,0.0008537695338241664,0.12649744524272533,0.002199390445011701,0.0007870417628695664
OOD_temp_max_group,XGBoost,30,-0.7005320048981609,0.0,0.0,75.16084615125706,0.0,0.0,0.1490564380080567,5.646012854083702e-17,2.0203997520952345e-17,0.13161490413478347,2.823006427041851e-17,1.0101998760476172e-17
