R2,RMSE,MAE,MAPE,Model,Split,n_train,n_test,n_features,n_parameters,best_val_mse_scaled,epochs_run,pressure_monotonic_violation_fraction,temperature_monotonic_violation_fraction,pressure_saturation_violation_fraction,min_predicted_capacity_on_grids
0.8526927072758087,0.07707194128837787,0.06548458162993438,33.13546012604106,PI-HySPAC_physics_features_with_physics_loss,OOD_alclay_max_group,148,43,13,69633,0.00419585919007659,379,0.0,0.12751677852348994,0.0,0.054850686341524124
0.8451679367514714,0.07901592430567002,0.0681662310347351,33.659324760577206,NN_physics_features_no_physics_loss,OOD_alclay_max_group,148,43,13,69633,0.004122245125472546,379,0.0,0.12751677852348994,0.0,0.05443500354886055
0.7400920900549697,0.10237500184578513,0.07105274087595244,40.40988006664936,NN_raw_with_physics_loss,OOD_alclay_max_group,148,43,3,67073,0.006089263595640659,551,0.0,0.0,0.013513513513513514,0.07056012004613876
0.6675535181190447,0.1157830657641916,0.0880601741005085,50.691763855507396,NN_raw_no_physics_loss,OOD_alclay_max_group,148,43,3,67073,0.005979267880320549,384,0.0,0.1610738255033557,0.02027027027027027,0.05613921955227852
0.9594256450206736,0.027333360977926498,0.02220882467057092,3.8652425880416184,NN_physics_features_no_physics_loss,OOD_pressure_high,162,29,13,69633,0.0036338865756988525,433,0.0,0.24161073825503357,0.0,0.042569950222969055
0.9582669795186309,0.027720887727299554,0.022368236265356414,3.893618226797723,PI-HySPAC_physics_features_with_physics_loss,OOD_pressure_high,162,29,13,69633,0.0036829784512519836,433,0.0,0.2751677852348993,0.0,0.04361028969287872
0.9213859496104326,0.038046727777376235,0.027632297115246625,5.0609330433889665,NN_raw_no_physics_loss,OOD_pressure_high,162,29,3,67073,0.005820357706397772,387,0.0,0.0,0.013513513513513514,0.05427257716655731
0.9211909018550656,0.038093897027255345,0.028116730224215358,4.96134101250275,NN_raw_with_physics_loss,OOD_pressure_high,162,29,3,67073,0.005320363212376833,720,0.0,0.0,0.013513513513513514,0.055499836802482605
0.7996304075134361,0.0257621282259644,0.020779947949171373,25.775886761242568,PI-HySPAC_physics_features_with_physics_loss,OOD_pressure_low,162,29,13,69633,0.00200822064653039,641,0.0,0.2080536912751678,0.013513513513513514,0.06503605842590332
0.7787877847094851,0.027068885966367084,0.022022784436875685,27.22134153834536,NN_physics_features_no_physics_loss,OOD_pressure_low,162,29,13,69633,0.0019572717137634754,625,0.0,0.2080536912751678,0.013513513513513514,0.06513285636901855
-0.5225367788039521,0.07101494029271511,0.05886369945586164,65.90968677466769,NN_raw_with_physics_loss,OOD_pressure_low,162,29,3,67073,0.004243242554366589,538,0.0,0.0,0.1554054054054054,0.12416595220565796
-0.5857740222269641,0.07247470888945462,0.0613509817566792,70.51604702301972,NN_raw_no_physics_loss,OOD_pressure_low,162,29,3,67073,0.003108080942183733,594,0.0,0.11409395973154363,0.08783783783783784,0.1343669891357422
-0.21516140911546877,0.12600138478041406,0.10451311353303865,50.268850892618474,NN_raw_with_physics_loss,OOD_temp_max_group,134,57,3,67073,0.002536201383918524,407,0.0,0.0,0.02702702702702703,0.06690411269664764
-0.5533343065828571,0.14245929827014034,0.12978372778322592,83.57617054227757,PI-HySPAC_physics_features_with_physics_loss,OOD_temp_max_group,134,57,13,69633,0.0009144843788817525,259,0.0,0.0,0.0,0.048409830778837204
-0.7385240075383337,0.15071229384578097,0.1366497116160473,90.07009909678463,NN_physics_features_no_physics_loss,OOD_temp_max_group,134,57,13,69633,0.0008898096857592463,259,0.0,0.0,0.0,0.049369316548109055
-0.9937398601551108,0.161395930309692,0.144708864773854,98.57841405886052,NN_raw_no_physics_loss,OOD_temp_max_group,134,57,3,67073,0.002449682215228677,506,0.0,0.6308724832214765,0.033783783783783786,0.06360746920108795
