R2,RMSE,MAE,MAPE,Model,Split,n_train,n_test,n_features,n_parameters,best_val_mse_scaled,epochs_run,Experiment,epsilon,p_sat_ref,pressure_monotonic_violation_fraction,temperature_monotonic_violation_fraction,pressure_saturation_violation_fraction,min_predicted_capacity_on_grids
0.99432530653936,0.016845676792802317,0.013263065234156865,6.581628563668593,PI-HySPAC_eps_0.0001,IID,152,39,13,69633,0.0062681520357728004,248,epsilon_robustness,0.0001,10.0,0.0,0.0,0.0,0.02782786265015602
0.9943252822118073,0.016845712901682457,0.013263073639940103,6.58167318743751,PI-HySPAC_eps_1e-06,IID,152,39,13,69633,0.006268136668950319,248,epsilon_robustness,1e-06,10.0,0.0,0.0,0.0,0.027827713638544083
0.9943252812976406,0.016845714258559342,0.013263073639940103,6.58167299333434,PI-HySPAC_eps_1e-08,IID,152,39,13,69633,0.006268133409321308,248,epsilon_robustness,1e-08,10.0,0.0,0.0,0.0,0.02782774344086647
0.9943252755312832,0.01684572281743165,0.013263082427804397,6.58167546396465,PI-HySPAC_eps_1e-12,IID,152,39,13,69633,0.006268135271966457,248,epsilon_robustness,1e-12,10.0,0.0,0.0,0.0,0.027827713638544083
0.9943252755312832,0.01684572281743165,0.013263082427804397,6.58167546396465,PI-HySPAC_eps_1e-10,IID,152,39,13,69633,0.006268135271966457,248,epsilon_robustness,1e-10,10.0,0.0,0.0,0.0,0.027827713638544083
0.9960527314229316,0.014049653039224097,0.010357636424962518,4.663330577318147,PI-HySPAC_PsatRef_5,IID,152,39,13,69633,0.005811366718262434,277,p_sat_ref_robustness,1e-08,5.0,0.0,0.0,0.0,0.04421952739357948
0.9954767179229467,0.015039870489744759,0.011843875775058394,5.359495605457846,PI-HySPAC_PsatRef_1,IID,152,39,13,69633,0.005342212505638599,277,p_sat_ref_robustness,1e-08,1.0,0.0,0.0,0.013513513513513514,0.04919639602303505
0.9943252812976406,0.016845714258559342,0.013263073639940103,6.58167299333434,PI-HySPAC_PsatRef_10,IID,152,39,13,69633,0.006268133409321308,248,p_sat_ref_robustness,1e-08,10.0,0.0,0.0,0.0,0.02782774344086647
0.9943045697285662,0.016876427974764577,0.01306321460135274,6.609346747493075,PI-HySPAC_PsatRef_20,IID,152,39,13,69633,0.0061074779368937016,248,p_sat_ref_robustness,1e-08,20.0,0.0,0.0,0.0,0.025443796068429947
0.9942847529388408,0.016905762564274264,0.012714380132793484,6.700372696538426,PI-HySPAC_PsatRef_50,IID,152,39,13,69633,0.005984240677207708,248,p_sat_ref_robustness,1e-08,50.0,0.0,0.0,0.0,0.02496207132935524
