R2,RMSE,MAE,MAPE,Model,BaseModel,FeatureSet,Split,n_train,n_test,n_features
0.9930469985687789,0.01864676167188447,0.015298030768847712,5.971706071787283,CatBoost_physics_features,CatBoost,physics_features,IID,152,39,13
0.9928616197184075,0.01889370372437639,0.013198951937597814,4.5781445450043385,CatBoost_raw_features,CatBoost,raw_features,IID,152,39,3
0.9910739837866094,0.02112740202176326,0.016617857269853167,6.479094296558661,GBM_physics_features,GBM,physics_features,IID,152,39,13
0.9900053197740531,0.022356391820260425,0.01639900750759696,5.815055767725916,GBM_raw_features,GBM,raw_features,IID,152,39,3
0.9883190589772423,0.024168860568652247,0.019613566066483228,8.933665231394638,AdaBoost_raw_features,AdaBoost,raw_features,IID,152,39,3
0.9849053136076797,0.027474469023809713,0.022153460228239268,8.670819395595618,XGBoost_physics_features,XGBoost,physics_features,IID,152,39,13
0.9848392863704146,0.027534492922089017,0.020062965568619775,6.4732362200096984,XGBoost_raw_features,XGBoost,raw_features,IID,152,39,3
0.9781634494085306,0.033045268027128046,0.022466985384409357,10.495165574597138,AdaBoost_physics_features,AdaBoost,physics_features,IID,152,39,13
0.9852549836953212,0.02438410404291299,0.019979562455523535,9.688891575236392,GBM_raw_features,GBM,raw_features,OOD_alclay_max_group,148,43,3
0.9852522575054138,0.02438635811386815,0.019670811402894343,10.26263729389432,AdaBoost_physics_features,AdaBoost,physics_features,OOD_alclay_max_group,148,43,13
0.9834184331556604,0.025858120631715494,0.019775014871450405,8.611086021492788,CatBoost_raw_features,CatBoost,raw_features,OOD_alclay_max_group,148,43,3
0.9815218155650061,0.02729693106277692,0.021644781477829656,9.834286174919589,XGBoost_raw_features,XGBoost,raw_features,OOD_alclay_max_group,148,43,3
0.9812622361091177,0.027487994501653176,0.021352843311796443,10.095814536237176,AdaBoost_raw_features,AdaBoost,raw_features,OOD_alclay_max_group,148,43,3
0.9793560519854737,0.028852307527356732,0.022005779185185696,11.742327637976475,GBM_physics_features,GBM,physics_features,OOD_alclay_max_group,148,43,13
0.9703232783852396,0.03459331134204587,0.027071684443187093,12.48373473517245,CatBoost_physics_features,CatBoost,physics_features,OOD_alclay_max_group,148,43,13
0.9699783666952652,0.03479375749276442,0.026459343334614444,13.679882298613776,XGBoost_physics_features,XGBoost,physics_features,OOD_alclay_max_group,148,43,13
0.9255800597687474,0.0370179089693554,0.03005616027801978,4.5930062314989435,GBM_raw_features,GBM,raw_features,OOD_pressure_high,162,29,3
0.9171433316342585,0.0390598847856868,0.034478931760261566,5.7981144679433205,CatBoost_physics_features,CatBoost,physics_features,OOD_pressure_high,162,29,13
0.8869568154957528,0.04562358586009971,0.038980910261496554,5.929920605900785,AdaBoost_raw_features,AdaBoost,raw_features,OOD_pressure_high,162,29,3
0.8279761431090188,0.05628096884734537,0.04461863038341058,6.5855106838836095,XGBoost_raw_features,XGBoost,raw_features,OOD_pressure_high,162,29,3
0.7976192678700009,0.061045240070420864,0.04740905247987112,8.962802372762797,XGBoost_physics_features,XGBoost,physics_features,OOD_pressure_high,162,29,13
0.7942872870504116,0.061545710623186166,0.053090218008654634,8.003850571333315,CatBoost_raw_features,CatBoost,raw_features,OOD_pressure_high,162,29,3
0.7623402028983647,0.06615232090338966,0.04941233164472772,8.756031901464553,AdaBoost_physics_features,AdaBoost,physics_features,OOD_pressure_high,162,29,13
0.5742208554648702,0.08854405703364476,0.07844647230911933,13.442106269880535,GBM_physics_features,GBM,physics_features,OOD_pressure_high,162,29,13
-0.32591346655050035,0.06627098426219238,0.05899247056750622,75.88511270970095,GBM_physics_features,GBM,physics_features,OOD_pressure_low,162,29,13
-0.8171099267844228,0.07758118886758832,0.06713502016931037,82.00616040573372,CatBoost_physics_features,CatBoost,physics_features,OOD_pressure_low,162,29,13
-0.8901987229766162,0.07912606396198034,0.06936974696983988,90.74508223862897,XGBoost_physics_features,XGBoost,physics_features,OOD_pressure_low,162,29,13
-0.94110404794734,0.0801844653332101,0.06936626109963571,84.88171486958483,AdaBoost_physics_features,AdaBoost,physics_features,OOD_pressure_low,162,29,13
-1.015630750193608,0.08170926759485107,0.07001045959221423,85.1798872741286,GBM_raw_features,GBM,raw_features,OOD_pressure_low,162,29,3
-1.0776133895593873,0.08295607542915096,0.07116452797143381,87.19607619193496,CatBoost_raw_features,CatBoost,raw_features,OOD_pressure_low,162,29,3
-1.422848860947978,0.08958369916910483,0.07888721154228258,95.79850877082666,AdaBoost_raw_features,AdaBoost,raw_features,OOD_pressure_low,162,29,3
-1.6620143382186634,0.09390117468476417,0.08167647906330563,98.64525165969,XGBoost_raw_features,XGBoost,raw_features,OOD_pressure_low,162,29,3
-0.7005320048981609,0.14905643800805676,0.1316149041347835,75.16084615125706,XGBoost_physics_features,XGBoost,physics_features,OOD_temp_max_group,134,57,13
-0.7145220067179072,0.14966831374121328,0.1314780021293085,73.84518736261616,GBM_physics_features,GBM,physics_features,OOD_temp_max_group,134,57,13
-0.7429002492024483,0.15090186237593092,0.133797876470189,75.51010786747301,AdaBoost_physics_features,AdaBoost,physics_features,OOD_temp_max_group,134,57,13
-0.8802059644426448,0.15673321664273648,0.13696446563573722,75.89161600463314,CatBoost_physics_features,CatBoost,physics_features,OOD_temp_max_group,134,57,13
-1.11690542576122,0.16630643797141256,0.14595721353318405,81.1900451460023,CatBoost_raw_features,CatBoost,raw_features,OOD_temp_max_group,134,57,3
-1.1433165998995571,0.1673406676930464,0.14590567265722593,78.38789703101511,XGBoost_raw_features,XGBoost,raw_features,OOD_temp_max_group,134,57,3
-1.2035258021206445,0.16967482261381836,0.1493116037105161,84.16212546263566,GBM_raw_features,GBM,raw_features,OOD_temp_max_group,134,57,3
-1.3110610982322508,0.1737656972410327,0.15332929195252645,87.19147358259211,AdaBoost_raw_features,AdaBoost,raw_features,OOD_temp_max_group,134,57,3
